observation_date,MSPS
1976-01-01,39800
1976-04-01,40400
1976-07-01,41400
1976-10-01,40000
1977-01-01,41200
1977-04-01,44300
1977-07-01,44600
1977-10-01,46100
1978-01-01,47700
1978-04-01,49900
1978-07-01,51300
1978-10-01,53000
1979-01-01,54300
1979-04-01,57400
1979-07-01,59700
1979-10-01,57300
1980-01-01,59000
1980-04-01,58700
1980-07-01,60400
1980-10-01,61200
1981-01-01,62300
1981-04-01,63500
1981-07-01,66000
1981-10-01,66100
1982-01-01,64400
1982-04-01,65700
1982-07-01,67300
1982-10-01,68100
1983-01-01,69200
1983-04-01,69300
1983-07-01,73200
1983-10-01,71900
1984-01-01,71900
1984-04-01,71900
1984-07-01,71100
1984-10-01,73000
1985-01-01,74800
1985-04-01,73600
1985-07-01,74300
1985-10-01,78300
1986-01-01,78400
1986-04-01,79800
1986-07-01,81900
1986-10-01,84400
1987-01-01,85800
1987-04-01,88000
1987-07-01,88900
1987-10-01,89800
1988-01-01,91000
1988-04-01,89300
1988-07-01,95800
1988-10-01,93000
1989-01-01,93000
1989-04-01,97500
1989-07-01,94900
1989-10-01,96500
1990-01-01,98900
1990-04-01,103000
1990-07-01,95900
1990-10-01,98000
1991-01-01,101300
1991-04-01,100900
1991-07-01,99700
1991-10-01,100000
1992-01-01,106500
1992-04-01,101000
1992-07-01,102000
1992-10-01,110000
1993-01-01,109000
1993-04-01,115500
1993-07-01,114000
1993-10-01,115000
1994-01-01,116200
1994-04-01,118500
1994-07-01,113700
1994-10-01,117900
1995-01-01,118000
1995-04-01,124500
1995-07-01,121000
1995-10-01,127000
1996-01-01,125500
1996-04-01,125000
1996-07-01,123900
1996-10-01,127900
1997-01-01,127100
1997-04-01,129900
1997-07-01,127000
1997-10-01,129000
1998-01-01,131000
1998-04-01,132300
1998-07-01,137300
1998-10-01,138500
1999-01-01,142500
1999-04-01,143000
1999-07-01,141100
1999-10-01,149600
2000-01-01,148000
2000-04-01,142500
2000-07-01,152300
2000-10-01,148400
2001-01-01,154700
2001-04-01,156100
2001-07-01,152800
2001-10-01,152100
2002-01-01,160900
2002-04-01,164000
2002-07-01,158200
2002-10-01,165400
2003-01-01,165800
2003-04-01,164600
2003-07-01,163400
2003-10-01,169400
2004-01-01,173800
2004-04-01,171400
2004-07-01,176700
2004-10-01,190900
2005-01-01,188600
2005-04-01,192000
2005-07-01,190000
2005-10-01,200000
2006-01-01,205900
2006-04-01,206700
2006-07-01,195100
2006-10-01,207400
2007-01-01,222900
2007-04-01,208300
2007-07-01,214900
2007-10-01,214900
2008-01-01,202200
2008-04-01,208100
2008-07-01,203300
2008-10-01,188700
2009-01-01,189300
2009-04-01,201000
2009-07-01,189700
2009-10-01,191800
2010-01-01,187900
2010-04-01,195200
2010-07-01,203900
2010-10-01,198500
2011-01-01,209800
2011-04-01,209900
2011-07-01,210300
2011-10-01,201200
2012-01-01,217300
2012-04-01,211700
2012-07-01,226200
2012-10-01,237500
2013-01-01,232400
2013-04-01,250200
2013-07-01,237800
2013-10-01,245100
2014-01-01,252000
2014-04-01,265400
2014-07-01,253200
2014-10-01,276400
2015-01-01,263900
2015-04-01,261800
2015-07-01,276100
2015-10-01,278700
2016-01-01,277400
2016-04-01,277100
2016-07-01,280200
2016-10-01,285900
2017-01-01,281400
2017-04-01,285400
2017-07-01,295300
2017-10-01,298500
2018-01-01,295800
2018-04-01,285300
2018-07-01,296100
2018-10-01,291600
2019-01-01,280000
2019-04-01,292400
2019-07-01,289900
2019-10-01,290900
2020-01-01,279900
2020-04-01,284900
2020-07-01,293500
2020-10-01,303900
2021-01-01,312700
2021-04-01,322800
2021-07-01,348100
2021-10-01,364300
2022-01-01,368400
2022-04-01,387600
2022-07-01,394900
2022-10-01,398700
2023-01-01,385600
2023-04-01,374300
2023-07-01,394100
2023-10-01,388400
2024-01-01,378100
2024-04-01,372200
2024-07-01,367700
2024-10-01,377200
